0.1,100
0.3,100
0.5,100
0.7,100
0.9,100
1.1,100
1.3,100
1.5,100
1.7,100
1.9,100
2.1,100
2.3,100
2.5,100
2.7,100
2.9,100
3.1,100
3.3,100
3.5,100
3.7,100
3.9,100
4.1,100
4.3,100
4.5,100
4.7,100
4.9,100
5.1,100
5.3,100
5.5,100
5.7,100
5.9,100
6.1,100
6.3,100
6.5,100
6.7,100
6.9,100
7.1,100
7.3,100
7.5,100
7.7,100
7.9,100
8.1,100
8.3,100
8.5,100
8.7,100
8.9,100
9.1,100
9.3,100
9.5,100
9.7,100
9.9,100
10.1,100
10.3,100
10.5,100
10.7,100
10.9,100
11.1,100
11.3,100
11.5,100
11.7,100
11.9,100
12.1,100
12.3,100
12.5,100
12.7,100
12.9,100
13.1,100
13.3,100
13.5,100
13.7,100
13.9,100
14.1,100
14.3,100
14.5,100
14.7,100
14.9,100
15.1,100
15.3,100
15.5,100
15.7,100
15.9,100
16.1,100
16.3,100
16.5,100
16.7,100
16.9,100
17.1,100
17.3,100
17.5,100
17.7,100
17.9,100
18.1,100
18.3,100
18.5,100
18.7,100
18.9,100
19.1,100
19.3,100
19.5,100
19.7,100
19.9,100
